Код	Полное наименование	Короткое наименование	Регион	Район	Улица
841801	ЦЕНТР ОБЩЕВРАЧЕБНОЙ ПРАКТИКИ МОСКОВСКОГО РАЙОНА	ЦОВП МОСКОВСКОГО РАЙОНА	Чуйская	Московский	Ленина ул.
307751	ЖАЛАЛ-АБАДСКИЙ ОБЛАСТНОЙ ЦЕНТР ПО КОНТРОЛЮ ЗА ГЕМОКОНТАКТНЫМИ ВИРУСНЫМИ ГЕПАТИТАМИ И ВИРУСОМ ИММУНОДЕФИЦИТА ЧЕЛОВЕКА	ЖОЦКГВГ и ВИЧ	Джалал-Абадская	Джалал-Абад	Курортная
514791	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""АНДАРХАМ"""	"ГСВ ""АНДАРХАМ"""	Баткенская	Лейлекский	
344641	Жалал-Абадская областная стоматологическая поликлиника	ЖОСП	Джалал-Абадская	Джалал-Абад	Курманбек ул.
306211	Центр общеврачебной практики имени Ч.Орозова села Уч-Терек Токтогульского района Жалал-Абадской области	ЦОВП Уч-Терек им. Ч.Орозова	Джалал-Абадская	Токтогульский	Бекназаров Таштан ул.
309691	Жалал-Абадский межобластной реабилитационный центр Бакыт	"МЕЖОБЛАСТНОЙ РЕАБ. ЦЕНТР ""БАКЫТ"""	Джалал-Абадская	Джалал-Абад	Тайгараева ул.
513171	БАТКЕНСКАЯ ОБЛАСТНАЯ ОБЪЕДИНЕННАЯ БОЛЬНИЦА	ООБ БАТКЕНСКАЯ	Баткенская	Баткен	Исхак Раззаков ул.
641601	"Учреждение ""Центр семейной медицины Кара-Суйского района Ошской области"""	"У-е ""ЦСМ"""	Ошская	Кара-Сууйский	В.Ленина ул.
844151	"Учреждение ""Центр семейной медицины Жайылского района"""	"У-Е ""ЦСМ Жайылского района"""	Чуйская	Жайылский	Космонавтов ул.
344821	ЖАЛАЛ-АБАДСКАЯ ОБЛАСТНАЯ ДЕТСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА	ЖАОДКБ	Джалал-Абадская	Джалал-Абад	Пушкина ул.
822251	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ПЕТРОВКА"""	"ГСВ ""ПЕТРОВКА"""	Чуйская	Московский	
641631	ЦЕНТР ОБЩЕВРАЧЕБНОЙ ПРАКТИКИ КАРА-КУЛЖИНСКОГО РАЙОНА ОШСКОЙ ОБЛАСТИ ИМЕНИ МАМЫТБЕКА ЖУНУСОВА	ЦОВП КАРА-КУЛЖА	Ошская	Кара-Кулжинский	Чеги Пазылов ул.
309831	Майлуу-Сууйский медицинский колледж	Майлуу-Сууйский мед. колледж	Джалал-Абадская	Майлуу-Суу	
824411	КАРА-БАЛТИНСКОЕ МЕДИЦИНСКОЕ УЧИЛИЩЕ	МЕДУЧИЛИЩЕ КАРА-БАЛТИНСКОЕ	Чуйская	Жайылский	Турара Кожомбердиева ул.
642191	Межрайонный Ноокатский Центр профилактики заболеваний и государственного санитарно эпидемиологического надзора	УМНЦПЗиГСЭН	Ошская	Ноокатский	Мирмахмудов ул.
617891	ПРОТИВО ТУБЕРКУЛЕЗНАЯ БОЛЬНИЦА КАРАСУЙСКОГО РАЙОНА	ТУБ. БОЛ. КАРАСУУ	Ошская	Кара-Сууйский	С.Примбердиев ул.
618201	ЦЕНТР ОБЩЕЙ ВРАЧЕБНОЙ ПРАКТИКИ ИМ.АБИБИЛЛЫ МОЛДОБОЛОТОВА ЧОН-АЛАЙСКОГО РАЙОНА	ЦОВП ЧОН-АЛАЙ	Ошская	Чон-Алайский	Ч.Сулайманов ул.
101471	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №2	ГСВ №2	Бишкек	Ленинский	
101511	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №6	ГСВ №6	Бишкек	Ленинский	
618491	ЦЕНТР ОБЩЕЙ ВРАЧЕБНОЙ ПРАКТИКИ ПАПАН	ЦОВП ПАПАН	Ошская	Кара-Сууйский	Т.Калыев ул.
626641	ЮЖНЫЙ ФИЛИАЛ РЕСПУБЛИКАНСКОГО ЦЕНТРА УКРЕПЛ.ЗДОРОВЬЯ	ЮЖНЫЙ ФИЛИАЛ РЕСПУБЛ.ЦЕНТР.УКР.ЗДОРОВЬЯ	Ошская	город Ош	Ленина ул.
626411	"Учреждение ""Ошский межобластной онкологический центр"""	ОМЦО	Ошская	город Ош	Ашимахунова ул.
626391	ОШСКОЕ ОБЛАСТНОЕ ПАТОЛОГИЧЕСКОЕ БЮРО	ОШСКОЕ ОБЛАСТНОЕ ПАТОЛОГИЧЕСКОЕ БЮРО	Ошская	город Ош	Верхне-Увамская ул.
720521	ТАЛАССКИЙ ОБЛАСТНОЙ ЦЕНТР КРОВИ	ЦЕНТР КРОВИ ТАЛАССКИЙ ОБЛАСТНОЙ	Таласская	Талас	Чынгыз Айтматов ул.
620131	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ОЙ-ТАЛ"""	"ГСВ №13  ""ОЙ-ТАЛ"""	Ошская	Кара-Кулжинский	
412011	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""МИН-КУШ"""	"ГСВ ""МИН-КУШ"""	Нарынская	Жумгальский	ул. Сангородок
412131	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ТЮГЕЛЬ-САЙ"""	"ГСВ ""ТЮГЕЛЬ-САЙ"""	Нарынская	Жумгальский	ул. Т. Жээналиев
143131	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №6	ГСВ №6	Бишкек	Ленинский	Ашар ул.
101391	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №6	ГСВ №6	Бишкек	Ленинский	
841961	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""СОКУЛУК 2"""	"ГСВ ""СОКУЛУК 2"""	Чуйская	Сокулукский	
101131	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №1	ГСВ №1	Бишкек	Свердловский	
101611	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №3	ГСВ №3	Бишкек	Ленинский	Шералиев Ж. ул.
822441	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""НОВОПАВЛОВКА"""	"ГСВ ""НОВОПАВЛОВКА"""	Чуйская	Сокулукский	
822361	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ТОШ-БУЛАК"""	"ГСВ ""ТОШ-БУЛАК"""	Чуйская	Сокулукский	
204751	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""НУР"""	"ГСВ ""НУР"""	Иссык-Кульская	Жети-Огузский	Комсомольская ул.
823371	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КРАСНАЯ РЕЧКА"""	"ГСВ ""КРАСНАЯ РЕЧКА"""	Чуйская	Ысык-Атинский	
411971	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КАРА-БЮРГЕН"""	"ГСВ ""КАРА-БЮРГЕН"""	Нарынская	Ак-Талинский	Маметов
100771	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №2	ГСВ №2	Бишкек	Свердловский	
822201	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""СРЕТЕНКА"""	"ГСВ ""СРЕТЕНКА"""	Чуйская	Московский	
822371	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""АСЫЛБАШ"""	"ГСВ ""АСЫЛБАШ"""	Чуйская	Сокулукский	
822711	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""МАЕВКА"""	"ГСВ ""МАЕВКА"""	Чуйская	Аламудунский	
822701	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ПРИГОРОДНОЕ"""	"ГСВ ""ПРИГОРОДНОЕ"""	Чуйская	Аламудунский	
142571	Группа семейных врачей №5	ГСВ 5	Бишкек	Свердловский	проспект Чуй
102571	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №12	ГСВ №12	Бишкек	Свердловский	
101261	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №11	ГСВ №11	Бишкек	Октябрьский	
841921	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""Кунтуу"""	"ГСВ ""Кунтуу"""	Чуйская	Сокулукский	
101801	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №1	ГСВ №1	Бишкек	Октябрьский	
