Код	Полное наименование	Короткое наименование	Регион	Район	Улица
203471	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТОРУ-АЙГЫР"""	"ФАП ""ТОРУ-АЙГЫР"""	Иссык-Кульская	Иссык-Кульский	
615361	ТАЛДЫ-СУУЙСКИЙ ФИЛИАЛ ТЕРРИТОРИАЛЬНОЙ БОЛЬНИЦЫ	ФТБ ТАЛДЫ-СУУЙСКИЙ	Ошская	Алайский	
617711	"ФИЛИАЛ АЛАЙСКОЙ ТЕРРИТОРИАЛЬНОЙ БОЛЬНИЦЫ ""САРЫ-МОГОЛ"""	ФТБ САРЫ-МОГОЛ	Ошская	Алайский	
618511	ФИЛИАЛ ТЕРРИТОРИАЛЬНОЙ БОЛЬНИЦЫ НУРА	ФТБ НУРА	Ошская	Алайский	
100821	РЕСПУБЛИКАНСКИЙ ЦЕНТР КАРАНТИННЫХ И ОСОБО ОПАСНЫХ ИНФЕКЦИЙ	РЕСПУБ ЦЕНТР КАРАН и ОСОБО ОПАСНЫХ ИНФЕК	Бишкек	Первомайский	Скрябина
411561	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КУМ-ДЕБЕ"""	"ГСВ ""КУМ-ДЕБЕ"""	Нарынская	Кочкорский	О.Алиев
412141	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КЫЗЫЛ-ТУУ"""	"ГСВ ""КЫЗЫЛ-ТУУ"""	Нарынская	Жумгальский	ул.Ниязалы уулу Субанбек
305451	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАРА-СУУ"""	"ФАП ""КАРА-СУУ"""	Джалал-Абадская	Аксыйский	
410671	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖЫЛАН-АРЫК"""	"ФАП ""ЖЫЛАН-АРЫК"""	Нарынская	Нарынский	
620151	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ТОГОТОЙ"""	"ГСВ №17  ""ТОГОТОЙ"""	Ошская	Кара-Кулжинский	
620161	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КАРА-КОЧКОР""""(С КОЙКАМИ)"""	"ГСВ №16 ""КАРА-КОЧКОР"""	Ошская	Кара-Кулжинский	
620331	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №6	ГСВ №6	Ошская	Араванский	
620321	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №5	ГСВ №5	Ошская	Араванский	
411591	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ДЖЕРГЕТАЛ"""	"ГСВ ""ДЖЕРГЕТАЛ"""	Нарынская	Нарынский	
101971	РЕСПУБЛИКАНСКИЙ ДИАГНОСТИЧЕСКО - ЛЕЧЕБНЫЙ ЦЕНТР	РДЛЦ	Бишкек	Первомайский	
343081	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТАШ-ЖАР"""	"ФАП ""ТАШ-ЖАР"""	Джалал-Абадская	Аксыйский	0
514201	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАРООЛ"""	"ФАП ""КАРООЛ"""	Баткенская	Кадамжайский	
305671	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""УСТУКАН"""	"ФАП ""УСТУКАН"""	Джалал-Абадская	Аксыйский	
823161	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КАНТ"""	"ГСВ ""КАНТ"""	Чуйская	Ысык-Атинский	
305971	РЕСПУБЛИКАНСКАЯ ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА  КЫЗЫЛ-ДЖАР	РЕСПУБ  ПСИХИАТ. БОЛЬНИЦА  КЫЗЫЛ-ДЖАР	Джалал-Абадская	Таш-Кумыр	
101711	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №5	ГСВ №5	Бишкек	Октябрьский	
101721	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №6	ГСВ №6	Бишкек	Октябрьский	
823991	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""МАДАНИЯТ"""	"ФАП ""МАДАНИЯТ"""	Чуйская	Чуйский	М.Сансызбаева
411721	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ОРНОК"""	"ФАП ""ОРНОК"""	Нарынская	Жумгальский	ул. Р. Ашырбеков
102211	НАЦИОНАЛЬНЫЙ  ГОСПИТАЛЬ	НАЦ. ГОСПИТАЛЬ	Бишкек	Первомайский	
721491	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ШЕКЕР"""	"ГСВ ""ШЕКЕР"""	Таласская	Кара-Бууринский	
309311	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №11	ГСВ №11	Джалал-Абадская	Сузакский	Досуев
411141	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""САРЫ-БУЛАК"""	"ФАП ""САРЫ-БУЛАК"""	Нарынская	Кочкорский	Алиев
512521	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""САРЫ-ДОБО"""	"ФАП ""САРЫ-ДОБО"""	Баткенская	Лейлекский	Тагайберди
721081	ТАЛАССКИЙ ОБЛАСТНОЙ МЕДИКО-ИНФОРМАЦИОННЫЙ ЦЕНТР	МИЦ ТАЛАССКИЙ ОБЛАСТНОЙ	Таласская	Талас	Бердике баатыра
306231	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""СЕВЕРНЫЙ КАРАЖЫГАЧ"""	"ФАП ""СЕВЕРНЫЙ КАРАЖЫГАЧ"""	Джалал-Абадская	Майлуу-Суу	Калинина
513021	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""МЫРЗА-ПАТЧА"""	"ФАП ""МЫРЗА-ПАТЧА"""	Баткенская	Лейлекский	С.Эрматов
721041	ТАЛАССКИЙ ОБЛАСТНОЙ ЦЕНТР ПО ПРОФИЛАКТИКЕ И БОРЬБЕ СО СПИДОМ	"ЦЕНТР ""СПИД"""" ТАЛАССКИЙ ОБЛАСТНОЙ"""	Таласская	Талас	Ч.Айтматов
308641	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №3	ГСВ №3	Джалал-Абадская	Кара-Куль	Сабирова
721261	Таласская областная больница реабилитации и лечение ветеранов труда и инвалидов	ТОБРиЛВТиИ	Таласская	Талас	Оморбек Ала?к?зов ул.
309991	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ШАЙДАН-САЙ"""	"ФАП ""ШАЙДАН-САЙ"""	Джалал-Абадская	Ноокенский	Жантаев Сулайман ул.
616831	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БОРКО"""	"ФАП ""БОРКО"""	Ошская	Ноокатский	
411621	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КОЧКОРКА"""	"ГСВ ""КОЧКОРКА"""	Нарынская	Кочкорский	С.Орозбакова
741851	Центр общеврачебной практики Кара-Бууринского района	ЦОВП Кара-Бууринского района	Таласская	Кара-Бууринский	Р.Сатыбалдиева ул.
721001	ТАЛАССКОЕ ТЕРРИТОРИАЛЬНОЕ УПРАВЛЕНИЕ ФОНДА ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ	ТУ ФОМС ТАЛАССКИЙ	Таласская	Талас	
721601	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №1	ГСВ №1	Таласская	Талас	
308551	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №3	ГСВ №3	Джалал-Абадская	Майлуу-Суу	
615561	"ОТДЕЛЕНИЕ КАРАСУУ ТБ  ""ЖООШ"""	"ОТД.КАРАСУУ ТБ  ""ЖООШ"""	Ошская	Кара-Сууйский	
100601	ДЕПАРТАМЕНТ ЛЕКАРСТВЕННОГО ОБЕСПЕЧЕНИЯ И МЕДИЦИНСКОЙ ТЕХНИКИ	ДЛОИМТ	Бишкек	Ленинский	
101211	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №2	ГСВ №2	Бишкек	Свердловский	
100761	Центр развития здравоохранения и медицинских технологий	ЦРЗиМТ	Бишкек	Первомайский	Тоголок Молдо ул.
100661	РЕСПУБЛИКАНСКИЙ ЦЕНТР КРОВИ	РЦ КРОВИ	Бишкек	Первомайский	Ч.Айтматова
411181	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЧОНДОБО"""	"ФАП ""ЧОНДОБО"""	Нарынская	Жумгальский	ул. К. Соронбаев
843041	Фельдшерско-акушерский пункт Джаилма	ФАП Джаилма	Чуйская	Ысык-Атинский	
843051	Фельдшерско-акушерский пункт Токтаналиева	ФАП Токтаналиева	Чуйская	Ысык-Атинский	
618481	ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ КУМ ШОРО	ФАП КУМ ШОРО	Ошская	Алайский	
343071	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖАШТЫК"""	"ФАП ""ЖАШТЫК"""	Джалал-Абадская	Ноокенский	Жаштык
305701	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТАШТАК"""	"ФАП ""ТАШТАК"""	Джалал-Абадская	Аксыйский	
306251	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЫЗЫЛ-ТУУ"""	"ФАП ""КЫЗЫЛ-ТУУ"""	Джалал-Абадская	Токтогульский	
309431	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ТЕКРЕК-СУУ"""	"ГСВ ""ТЕКРЕК-СУУ"""	Джалал-Абадская	Токтогульский	
822951	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КЕГЕТИ"""	"ГСВ ""КЕГЕТИ""""(№4)"""	Чуйская	Чуйский	М.Сансызбаева
822961	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КАЛИНОВКА"""	"ГСВ ""КАЛИНОВКА""""(№5)"""	Чуйская	Чуйский	М.Сансызбаева
513421	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ДЖАНЫ-АЙЫЛ"""	"ГСВ ""ДЖАНЫ-АЙЫЛ"""	Баткенская	Кадамжайский	
513831	БАТКЕНСКИЙ ОБЛАСТНОЙ ЦЕНТР БОРЬБЫ  ТУБЕРКУЛЕЗОМ	БАТКЕНСКИЙ ОЦБТ	Баткенская	Баткен	ЖУСУБАЛИЕВ
412001	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""БОКЧУБАЕВА"""	"ГСВ ""БОКЧУБАЕВА"""	Нарынская	Жумгальский	Карыбеков.Н. ул.
821821	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""СТЕПНОЕ"""	"ГСВ ""СТЕПНОЕ"""	Чуйская	Жайылский	
821831	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""СОСНОВКА"""	"ГСВ ""СОСНОВКА"""	Чуйская	Жайылский	
306441	"ФИЛИАЛ ТЕРРИТОРИАЛЬНОЙ БОЛЬНИЦЫ ""АВЛЕТИМ"""	"ФТБ ""АВЛЕТИМ"""	Джалал-Абадская	Аксыйский	
306011	Жалалабатский областной центр психического здоровья	ЖОЦПЗ	Джалал-Абадская	Джалал-Абад	Пушкина
823121	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КИЧИ-КЕМИН"""	"ГСВ ""КИЧИ-КЕМИН"""	Чуйская	Кеминский	
823281	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЫЗЫЛ-ТУУ"""	"ФАП ""КЫЗЫЛ-ТУУ"""	Чуйская	Московский	
843061	Фельдшерско-акушерский пункт 1 мая	ФАП 1 мая	Чуйская	Жайылский	1 мая
823551	ЧУЙСКИЙ ОБЛАСТНОЙ ЦЕНТР ПРОФИЛАКТИКИ И БОРЬБЫ СО СПИДОМ	ЦЕНТР СПИД ЧУЙСКИЙ ОБЛАСТНОЙ	Чуйская	Токмок	Комсомольская ул.
412051	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""МАНТЫШ"""	"ГСВ ""МАНТЫШ"""	Нарынская	Кочкорский	Жумалы
411981	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КЫЗАРТ"""	"ГСВ ""КЫЗАРТ"""	Нарынская	Жумгальский	ул. М. Акимкожоев
101411	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №8	ГСВ №8	Бишкек	Ленинский	Сельсоветская ул.
101961	РОДИЛЬНЫЙ ДОМ №1	РД №1	Бишкек	Свердловский	
306471	"ФИЛИАЛ ТЕРРИТОРИАЛЬНОЙ БОЛЬНИЦЫ ""ДЖАНЫ-ДЖОЛ"""	"ФТБ ""ДЖАНЫ-ДЖОЛ"""	Джалал-Абадская	Аксыйский	
512291	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АЙГУЛЬ-ТАШ"""	"ФАП ""АЙГУЛЬ-ТАШ"""	Баткенская	Баткенский	
721551	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КЫЗЫЛ-ДЖЫЛДЫЗ"""	"ГСВ ""КЫЗЫЛ-ДЖЫЛДЫЗ"""	Таласская	Манасский	Ахунбаев ул.
203801	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ШОР-БУЛАК"""	"ФАП ""ШОР-БУЛАК"""	Иссык-Кульская	Тонский	
822381	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ШОПОКОВ"""	"ГСВ ""ШОПОКОВ"""	Чуйская	Сокулукский	
411581	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КУЛАНАК"""	"ГСВ ""КУЛАНАК"""	Нарынская	Нарынский	Касымаалы-Ажы ул.
721311	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КОЗУЧАК"""	"ГСВ ""КОЗУЧАК"""	Таласская	Таласский	
203791	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТУРА-СУУ(УЛАХОЛ)"""	"ФАП ""ТУРА-СУУ(УЛАХОЛ)"""	Иссык-Кульская	Тонский	
821841	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""СТАВРОПОЛОВКА"""	"ГСВ ""СТАВРОПОЛОВКА"""	Чуйская	Жайылский	
926711	ОШСКОЕ ПРОТИВОЧУМНОЕ ОТДЕЛЕНИЕ	ОШСКОЕ ПРОТИВОЧУМНОЕ ОТДЕЛЕНИЕ	город Ош	город Ош	
308041	"ФИЛИАЛ ТЕРРИТОРИАЛЬНОЙ БОЛЬНИЦЫ ""ТОЛУК"""	"ФТБ ""ТОЛУК"""	Джалал-Абадская	Токтогульский	
308321	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""САДДА"""	"ФАП ""САДДА"""	Джалал-Абадская	Сузакский	Сабиров Р.
411641	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ЧОЛПОН"""	"ГСВ ""ЧОЛПОН"""	Нарынская	Кочкорский	Божок
411881	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №3	ГСВ №3	Нарынская	Нарын	Качкынова С. ул.
615631	"ОТДЕЛЕНИЕ НООКАТСКОЙ  ТБ ""КЫРГЫЗ-АТА"""	"ОТД.НООКАТ ТБ ""КЫРГЫЗ-АТА"""	Ошская	Ноокатский	
307181	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КОШ-БУЛАК"""	"ФАП ""КОШ-БУЛАК"""	Джалал-Абадская	Тогуз-Тороуский	Атыканов
411381	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ДЖАНЫ-ТИЛЕК"""	"ФАП ""ДЖАНЫ-ТИЛЕК"""	Нарынская	Ак-Талинский	Турусбек Байсалов
720831	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖИЙДЕ"""	"ФАП ""ЖИЙДЕ"""	Таласская	Манасский	Асанов Медетбек ул.
102401	ГОРОДСКАЯ ДЕТСКАЯ МОЛОЧНАЯ КУХНЯ	ГОРОДСКАЯ ДЕТСКАЯ МОЛОЧНАЯ КУХНЯ	Бишкек	Октябрьский	Суеркулова А. ул.
410491	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""МОЛДО КЫЛЫЧ"""	"ФАП ""МОЛДО КЫЛЫЧ"""	Нарынская	Кочкорский	Эдилбек
721531	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""БЕЙШЕКЕ"""	"ГСВ ""БЕЙШЕКЕ"""	Таласская	Кара-Бууринский	
412041	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""УЧ-НУРА"""	"ГСВ ""УЧ-НУРА"""	Нарынская	Нарынский	
411891	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №4	ГСВ №4	Нарынская	Нарын	
309051	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №8	ГСВ №8	Джалал-Абадская	Ноокенский	
309191	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №7 ""АКМАН"""	"ГСВ №7 ""АКМАН"""	Джалал-Абадская	Базар-Коргонский	
823971	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАЛЫГУЛ"""	"ФАП ""КАЛЫГУЛ"""	Чуйская	Чуйский	М.Сансызбаева
615671	"ОТДЕЛЕНИЕ НООКАТСКОЙ ТБ  ""САЛИЕВА"""	"ОТД.НООКАТ ТБ  ""САЛИЕВА"""	Ошская	Ноокатский	
720601	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЫЗЫЛ-ЧАРБА"""	"ФАП ""КЫЗЫЛ-ЧАРБА"""	Таласская	Бакай-Атинский	
309161	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""БАШКЫ-ТЕРЕК"""	"ГСВ ""БАШКЫ-ТЕРЕК"""	Джалал-Абадская	Чаткальский	Ынтымак ул.
309151	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ДЖАНЫ-БАЗАР"""	"ГСВ ""ДЖАНЫ-БАЗАР"""	Джалал-Абадская	Чаткальский	Досматов Багышбек ул.
309141	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КАНЫШ-КЫЯ"""	"ГСВ ""КАНЫШ-КЫЯ"""	Джалал-Абадская	Чаткальский	Кошбаев Т. ул.
309041	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""БЮРГЕНДЮ"""	"ГСВ ""БЮРГЕНДЮ"""	Джалал-Абадская	Ноокенский	
620251	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №4 ""АЧЫК-СУУ"""	"ГСВ №4 ""АЧЫК-СУУ"""	Ошская	Чон-Алайский	
620231	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №1""ДАРООТ-КОРГОН"""	"ГСВ №1""ДАРООТ-КОРГОН"""	Ошская	Чон-Алайский	
822081	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №1	ГСВ №1	Чуйская	Московский	
822271	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""СОКУЛУК"""	"ГСВ ""СОКУЛУК"""	Чуйская	Сокулукский	
720961	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАЛБА"""	"ФАП ""КАЛБА"""	Таласская	Таласский	
720571	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТАШ-КУДУК"""	"ФАП ""ТАШ-КУДУК"""	Таласская	Бакай-Атинский	
411911	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КАЗАН-КУЙГАН"""	"ГСВ ""КАЗАН-КУЙГАН"""	Нарынская	Нарынский	
822811	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №3	ГСВ №3	Чуйская	Токмок	гагарина
204881	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ТАМЧЫ"""	"ГСВ ""ТАМЧЫ"""	Иссык-Кульская	Иссык-Кульский	
204891	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""САРЫ-КАМЫШ"""	"ГСВ ""САРЫ-КАМЫШ"""	Иссык-Кульская	Иссык-Кульский	
620181	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ОТД.№1"""	"ФАП ""ОТД.№1"""	Ошская	Араванский	
824541	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""САХЗАВОД"""	"ФАП ""САХЗАВОД"""	Чуйская	Токмок	мира
205181	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ТОРТ-КУЛЬ"""	"ГСВ ""ТОРТ-КУЛЬ"""	Иссык-Кульская	Тонский	
100961	ФОНД ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ	ФОМС	Бишкек	Первомайский	Чуй пр.
205251	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ГРИГОРЬЕВКА"""	"ГСВ ""ГРИГОРЬЕВКА"""	Иссык-Кульская	Иссык-Кульский	
721461	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""АК-ЖОЛ"""	"ГСВ ""АК-ЖОЛ"""	Таласская	Кара-Бууринский	
721511	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КЕК-САЙ"""	"ГСВ ""КЕК-САЙ"""	Таласская	Кара-Бууринский	
926201	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖАПАЛАК"""	"ФАП ""ЖАПАЛАК"""	город Ош	Джапалак	
822131	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""САДОВОЕ"""	"ГСВ ""САДОВОЕ"""	Чуйская	Московский	Советская ул.
720971	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАРА-СУУ"""	"ФАП ""КАРА-СУУ"""	Таласская	Таласский	
720591	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЫЗЫЛ-САЙ"""	"ФАП ""КЫЗЫЛ-САЙ"""	Таласская	Бакай-Атинский	
841991	"Фельдшерско-акушерский пункт ""Эриктуу"""	"ФАП ""ЭРИКТУУ"""	Чуйская	Жайылский	
721171	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""Урмарал"""	"ФАП ""Урмарал"""	Таласская	Бакай-Атинский	
720581	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАРА-КАШАТ"""	"ФАП ""КАРА-КАШАТ"""	Таласская	Бакай-Атинский	
720551	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КОК-ТАШ"""	"ФАП ""КОК-ТАШ"""	Таласская	Бакай-Атинский	
720541	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""1 МАЯ"""	"ФАП ""1 МАЯ"""	Таласская	Бакай-Атинский	
512401	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""САЙ"""	"ФАП ""САЙ"""	Баткенская	Баткенский	
102131	ГОРОДСКОЙ  ПЕРИНАТАЛЬНЫЙ ЦЕНТР	ГПЦ	Бишкек	Октябрьский	Суеркулова А. ул.
823331	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ИВАНОВКА"""	"ГСВ ""ИВАНОВКА"""	Чуйская	Ысык-Атинский	
204821	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ДАРХАН"""	"ГСВ ""ДАРХАН"""	Иссык-Кульская	Жети-Огузский	Шарше Кадыракунов ул.
241791	"Группа семейных врачей ""Восход"""	"ГСВ ""Восход"""	Иссык-Кульская	Каракол	
541371	"Фельдшерский акушерский пункт""Ондуруш"""	"ФАП""Ондуруш"""	Баткенская	Кадамжайский	-
541381	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ""Адыр"""	"ФАП""Адыр"""	Баткенская	Кадамжайский	Адыр ул.
203301	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАБАК"""	"ФАП ""КАБАК"""	Иссык-Кульская	Жети-Огузский	Мундузбай
202891	Жети-Огузский межрайонный Центр профилактики заболевания и государственного санитарно-эпидемиологического надзора	ДЖЕТЫ-ОГУЗСКИЙ МЕЖРАЙОННЫЙ ЦПЗиГСЭН	Иссык-Кульская	Жети-Огузский	
203291	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЫРДЫК"""	"ФАП ""ЫРДЫК"""	Иссык-Кульская	Жети-Огузский	Малянчинов ул.
100791	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №6	ГСВ №6	Бишкек	Свердловский	
823221	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ПРЕДТЕЧЕНКА"""	"ФАП ""ПРЕДТЕЧЕНКА"""	Чуйская	Московский	
823721	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""2 ОТДЕЛЕНИЕ"""	"ФАП ""2 ОТДЕЛЕНИЕ"""	Чуйская	Сокулукский	
203281	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЫТАЙ"""	"ФАП ""КЫТАЙ"""	Иссык-Кульская	Жети-Огузский	Сабыр
100931	МЕДИКО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР	МЕДИКО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР	Бишкек	Ленинский	
411531	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""АК-ДЖАР"""	"ГСВ ""АК-ДЖАР"""	Нарынская	Ат-Башынский	Жаркынбаев
102381	Клиническая больница скорой медицинской помощи	КБСМП	Бишкек	Ленинский	Кривоносова
308851	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №12	ГСВ №12	Джалал-Абадская	Сузакский	Овченников Василий
411441	НАРЫНСКИЙ ОБЛАСТНОЙ ЦЕНТР ПРОФИЛАКТИКИ И БОРЬБЫ СПИД	ЦЕНТР ПРОФ. СПИД НАРЫНСКИЙ ОБЛАСТНОЙ	Нарынская	Нарын	Раззакова
308901	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №19	ГСВ №19	Джалал-Абадская	Сузакский	Низоми
241781	"Группа семейных  врачей ""Умут"""	"ГСВ ""Умут"""	Иссык-Кульская	Каракол	
102331	ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА №1	ГКБ №1	Бишкек	Ленинский	Ю.Фучика
822691	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ОКТЯБРЬСКОЕ"""	"ГСВ ""ОКТЯБРЬСКОЕ"""	Чуйская	Аламудунский	
100681	МЕДИЦИНСКАЯ АККРЕДИТАЦИОННАЯ КОМИССИЯ	МАК	Бишкек	Первомайский	
204871	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ЛИПЕНКА"""	"ГСВ ""ЛИПЕНКА"""	Иссык-Кульская	Жети-Огузский	Восточная ул.
102021	РЕСПУБЛИКАНСКИЙ ЦЕНТР НАРКОЛОГИИ	РЦ  НАРКОЛОГИИ	Бишкек	Октябрьский	Б-Батыра
543001	Фельдшерско-акушерский пункт Токтогул-Оолуя	ФАП Токтогул-Оолуя	Баткенская	Баткенский	
